pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
,udp,192.168.100.150,48516,192.168.100.3,80,175094,0.226784,100,4.100436,4,4.457383,100,0.0,,4.7194379999999985,1,DoS,UDP
2056418,tcp,192.168.100.148,22267,192.168.100.3,80,143024,0.451998,100,3.439257,1,3.806172,100,0.225077,0.401397,4.4429300000000005,1,DDoS,TCP
2795650,udp,192.168.100.149,28629,192.168.100.3,80,167033,1.931553,73,0.0,4,2.731204,100,0.0,0.407287,4.138455,1,DDoS,UDP
2118009,tcp,192.168.100.148,42142,192.168.100.3,80,204615,0.428798,56,3.271411,1,3.626428,100,0.0,0.343654,4.2297,1,DDoS,TCP
303688,tcp,192.168.100.149,1645,192.168.100.5,80,40058,2.058381,100,0.0,3,1.188407,100,0.0,0.13584200000000002,4.753628,1,DoS,TCP
420025,tcp,192.168.100.149,39733,192.168.100.5,80,156396,2.177835,36,0.0,3,1.539962,36,0.0,0.127912,4.619887,1,DoS,TCP
3008812,udp,192.168.100.147,10800,192.168.100.3,80,118034,1.368196,100,1.97518,4,3.910081,100,0.0,1.02512,4.885159,1,DDoS,UDP
1064106,udp,192.168.100.150,19625,192.168.100.3,80,184672,1.7884520000000002,100,0.0,4,3.576574,100,0.0,0.446612,4.4920800000000005,1,DoS,UDP
3258414,udp,192.168.100.147,22692,192.168.100.3,80,105486,0.822443,100,2.98003,4,3.982845,100,0.0,1.003092,4.994536,1,DDoS,UDP
1793063,tcp,192.168.100.148,39738,192.168.100.3,80,141822,0.030759,73,0.143091,1,0.173851,100,0.103113,0.309338,0.20461,1,DDoS,TCP
3652525,tcp,192.168.100.149,40209,192.168.100.5,1334,29263,0.0,100,0.004534000000000001,1,0.004534000000000001,100,0.0,0.0,0.004534000000000001,1,Reconnaissance,Service_Scan
2012355,tcp,192.168.100.148,2808,192.168.100.3,80,98961,1.902401,100,0.0,3,2.643317,100,0.0,0.271451,4.3989720000000005,1,DDoS,TCP
2003856,tcp,192.168.100.147,36026,192.168.100.3,80,90462,0.170796,100,3.26539,1,3.503918,100,0.14778,0.408009,3.656128,1,DDoS,TCP
628716,udp,192.168.100.147,14303,192.168.100.7,80,11439,1.2446549999999998,100,0.0,4,1.758793,100,0.0,0.306743,2.719768,1,DoS,UDP
1061387,udp,192.168.100.148,49003,192.168.100.6,80,181953,1.550268,14,0.0,4,2.685047,14,0.0,0.240384,3.5962300000000003,1,DoS,UDP
3445141,udp,192.168.100.148,37862,192.168.100.3,80,30060,0.625767,59,2.798243,4,3.682622,100,0.0,0.726616,4.152734,1,DDoS,UDP
192578,tcp,192.168.100.148,55661,192.168.100.6,80,191101,0.005329,60,0.0,1,0.003077,60,0.0,0.130665,0.012306,1,DoS,TCP
1877025,tcp,192.168.100.149,56855,192.168.100.3,80,225784,0.0,72,0.0,3,0.0,100,0.0,0.0,0.0,1,DDoS,TCP
985803,udp,192.168.100.148,33699,192.168.100.6,80,106369,0.021371,100,3.550244,4,3.568513,100,0.0,0.279869,3.604116,1,DoS,UDP
285160,tcp,192.168.100.147,54098,192.168.100.7,80,21530,0.0,52,0.0,3,0.0,52,0.0,0.121219,0.0,1,DoS,TCP
2917014,udp,192.168.100.148,51272,192.168.100.3,80,26236,0.634362,56,2.760138,4,3.657214,100,0.0,0.729375,4.1136550000000005,1,DDoS,UDP
3025207,udp,192.168.100.148,11653,192.168.100.3,80,134429,0.633178,52,2.760852,4,3.6563,100,0.0,0.729454,4.104394,1,DDoS,UDP
3264921,udp,192.168.100.147,26582,192.168.100.3,80,111993,0.823535,100,2.98066,4,3.986051,100,0.0,1.002999,4.997871,1,DDoS,UDP
2348057,tcp,192.168.100.148,26989,192.168.100.3,80,172517,1.53618,63,0.0,3,2.164113,100,0.0,0.311829,3.411198,1,DDoS,TCP
1680739,tcp,192.168.100.149,4061,192.168.100.3,80,29498,0.119378,100,0.0,1,0.119378,100,0.0,0.185088,0.238756,1,DDoS,TCP
1547675,udp,192.168.100.148,2590,192.168.100.6,80,143932,1.74158,100,0.0,4,3.016194,100,0.0,0.247802,4.057666,1,DoS,UDP
1248768,udp,192.168.100.148,40557,192.168.100.6,80,107179,2.04688,100,0.0,4,1.669863,100,0.0,0.190064,4.307466000000002,1,DoS,UDP
2584850,tcp,192.168.100.147,37713,192.168.100.3,80,147163,0.113154,96,0.0,3,0.065329,100,0.0,0.092369,0.261317,1,DDoS,TCP
3059537,udp,192.168.100.148,24105,192.168.100.3,80,168759,0.6391220000000001,100,2.750087,4,3.653935,100,0.0,0.729595,4.108791,1,DDoS,UDP
332527,tcp,192.168.100.149,15302,192.168.100.5,80,68897,0.018936,100,0.0,1,0.010933,100,0.0,0.094236,0.043731,1,DoS,TCP
3482249,udp,192.168.100.147,8303,192.168.100.3,80,67168,1.196099,100,2.100948,4,3.684233,100,0.0,0.8544350000000001,4.991517,1,DDoS,UDP
497255,tcp,192.168.100.150,1716,192.168.100.3,80,233628,0.0,100,0.17819100000000002,1,0.17819100000000002,100,0.0,5.611956,0.17819100000000002,1,DoS,TCP
2118042,tcp,192.168.100.148,42141,192.168.100.3,80,204648,0.42879,56,3.271398,1,3.626419,100,0.0,0.343654,4.229678,1,DDoS,TCP
226750,tcp,192.168.100.150,43905,192.168.100.3,80,225273,0.0,100,0.192679,1,0.192679,100,0.0,5.189979,0.192679,1,DoS,TCP
2499965,tcp,192.168.100.149,38698,192.168.100.3,80,62277,0.079618,48,0.0,1,0.045968,100,0.0,0.092528,0.183871,1,DDoS,TCP
3044665,udp,192.168.100.147,27876,192.168.100.3,80,153887,1.3693229999999998,100,1.97245,4,3.908954,100,0.0,1.025049,4.88301,1,DDoS,UDP
2794227,udp,192.168.100.148,52186,192.168.100.3,80,165610,1.368133,83,1.3705969999999998,4,3.300139,100,0.0,0.6317010000000001,4.388757,1,DDoS,UDP
3462754,udp,192.168.100.150,64662,192.168.100.3,80,47673,0.976178,93,1.997006,4,3.37753,100,0.0,0.493759,4.068442,1,DDoS,UDP
3530246,udp,192.168.100.149,124,192.168.100.3,80,115165,0.988959,98,1.999319,4,3.3974519999999995,100,0.0,0.48972,4.127747,1,DDoS,UDP
1143161,udp,192.168.100.147,62465,192.168.100.7,80,1572,0.8854,68,2.032481,4,3.4483580000000003,68,0.0,0.218213,4.475446,1,DoS,UDP
